Name,Country,Current_rapid_rating,Highest_rapid_rating,Rapid_win,Rapid_draw,Rapid_loss,Current_blitz_rating,Highest_blitz_rating,Blitz_win,Blitz_draw,Blitz_loss
"Krishnan, Sasikiran",India,2490.0,2829.0,30.0,21.0,26.0,2944.0,2958.0,2078.0,559.0,1818.0
"Mista, Aleksander",United States,2374.0,2374.0,7.0,1.0,0.0,2628.0,2714.0,1051.0,190.0,673.0
"Gajewski, Grzegorz",Poland,2443.0,2756.0,8.0,1.0,9.0,2788.0,2892.0,3524.0,547.0,2499.0
"Kaidanov, Gregory",United States,2526.0,2595.0,5.0,2.0,5.0,2669.0,2741.0,74.0,8.0,54.0
"Romanov, Evgeny",Norway,2265.0,2619.0,6.0,3.0,6.0,2741.0,2753.0,118.0,18.0,70.0
"Chigaev, Maksim",International,2602.0,2770.0,63.0,36.0,38.0,2947.0,3036.0,2185.0,455.0,1115.0
"Adly, Ahmed",Egypt,2720.0,2720.0,10.0,2.0,3.0,2908.0,2968.0,508.0,65.0,269.0
"Kuzubov, Yuriy",Ukraine,2495.0,2607.0,54.0,18.0,17.0,2924.0,2966.0,1245.0,268.0,851.0
"Ivanisevic, Ivan",Serbia,2386.0,2556.0,12.0,4.0,13.0,2727.0,2824.0,928.0,113.0,514.0
"Jimenez, Fidel Corrales",United States,2158.0,2539.0,7.0,5.0,5.0,2866.0,2972.0,7947.0,1306.0,7591.0
"Benjamin, Joel",United States,,,,,,,,,,
"Vovk, Andriy",Ukraine,2639.0,2639.0,11.0,0.0,0.0,2393.0,2608.0,104.0,19.0,70.0
"AZMAIPARASHVILI, ZURAB",Georgia,1926.0,2454.0,3.0,4.0,7.0,2704.0,2989.0,94.0,18.0,61.0
"Hess, Robert",United States,,,,,,,,,,
"Martirosyan, Haik",Armenia,2603.0,2698.0,47.0,20.0,24.0,2973.0,3117.0,2302.0,394.0,1271.0
"Bok, Benjamin",Netherlands,2598.0,2715.0,409.0,85.0,75.0,2972.0,3045.0,4027.0,853.0,1652.0
"Mareco, Sandro",Argentina,2535.0,2832.0,25.0,12.0,11.0,2863.0,2923.0,743.0,164.0,560.0
"Subramanian, Arunprasad",United States,2123.0,2123.0,4.0,1.0,3.0,2785.0,2789.0,138.0,12.0,49.0
"Onischuk, Vladimir",Ukraine,2546.0,2719.0,9.0,9.0,5.0,2879.0,2961.0,412.0,71.0,148.0
"Fridman, Daniel",Germany,2624.0,3008.0,19.0,14.0,7.0,2838.0,2957.0,167.0,21.0,92.0
"Granda, Julio",Peru,1406.0,,0.0,0.0,2.0,2339.0,2356.0,302.0,6.0,30.0
"Quesada, Yuniesky",United States,2669.0,2815.0,67.0,4.0,1.0,2879.0,2965.0,6360.0,1411.0,4921.0
"Yilmaz, Mustafa",Turkey,2559.0,2777.0,23.0,5.0,24.0,2836.0,3010.0,2852.0,454.0,1806.0
"Bernadskiy, Vitaliy",Ukraine,2594.0,2626.0,41.0,24.0,30.0,2860.0,2946.0,4819.0,935.0,3441.0
"Gupta, Abhijeet",India,,,,,,2854.0,3011.0,2133.0,501.0,2198.0
"Huschenbeth, Niclas",Germany,2335.0,2610.0,6.0,1.0,9.0,2660.0,2660.0,84.0,15.0,81.0
"Kannappan, Priyadharshan",India,2471.0,2623.0,8.0,1.0,0.0,2687.0,2807.0,1651.0,367.0,1206.0
"Dubov, Daniil",Russia,2681.0,2940.0,93.0,100.0,55.0,3088.0,3144.0,4818.0,1133.0,2529.0
"l'Ami, Erwin",Netherlands,,,,,,2941.0,2969.0,613.0,102.0,192.0
"Solak, Dragan",Turkey,2512.0,2679.0,10.0,8.0,3.0,2515.0,2941.0,1430.0,435.0,1025.0
"Sokolov, Ivan",Netherlands,2092.0,2092.0,6.0,2.0,3.0,2576.0,2763.0,483.0,73.0,298.0
"Bykhovsky, Anatoly",United States,2625.0,2780.0,1.0,0.0,0.0,1200.0,,0.0,1.0,0.0
"Izoria, Zviad",United States,,,,,,,,,,
"Ter-Sahakyan, Samvel",Armenia,2610.0,2635.0,133.0,49.0,44.0,2847.0,2975.0,1315.0,441.0,889.0
"Ivanov, Alexander",United States,,,,,,,,,,
"Dlugy, Maxim",United States,2518.0,2247.0,7.0,1.0,0.0,2681.0,2702.0,1294.0,140.0,380.0
"Lysyj, Igor",Russia,2595.0,2661.0,19.0,24.0,10.0,2754.0,2878.0,268.0,67.0,117.0
"Feller, Sebastien",France,2139.0,2139.0,3.0,0.0,0.0,2482.0,2482.0,64.0,10.0,35.0
"Grigoryan, Karen",United States,2149.0,2820.0,97.0,2.0,5.0,2953.0,2953.0,468.0,18.0,43.0
"Yakubboev, Nodirbek",Uzbekistan,2562.0,2826.0,23.0,10.0,10.0,3001.0,3001.0,245.0,48.0,126.0
,United States,,,,,,2715.0,2716.0,105.0,8.0,32.0
"Alcantara, Jose Eduardo Martinez",Mexico,2700.0,2744.0,337.0,137.0,107.0,3025.0,3121.0,12799.0,2335.0,6154.0
"Smeets, Jan",Netherlands,2587.0,2717.0,5.0,4.0,3.0,2706.0,2763.0,326.0,38.0,260.0
"Sarin, Nihal",Chile,2751.0,2790.0,146.0,51.0,63.0,3058.0,3277.0,11807.0,2187.0,6781.0
"Salgado, Ivan",Spain,2458.0,2536.0,7.0,5.0,13.0,2783.0,2965.0,435.0,94.0,337.0
"Хайруллин, Ильдар",Russia,,,,,,2858.0,2858.0,4.0,0.0,0.0
"Svane, Frederik",Germany,2451.0,2545.0,222.0,22.0,37.0,2949.0,3010.0,3142.0,668.0,1885.0
"Gustafsson, Jan",Germany,2500.0,2500.0,2.0,0.0,0.0,2659.0,2678.0,9.0,1.0,1.0
"Christiansen, Johan-Sebastian",Cayman Islands,2530.0,2805.0,11.0,2.0,10.0,2802.0,2902.0,1092.0,187.0,800.0
"Goldin, Alex",United States,2520.0,2576.0,48.0,10.0,31.0,2586.0,2766.0,6525.0,813.0,5720.0
"Gorovets, Andrey",United States,941.0,2763.0,553.0,1150.0,76.0,2836.0,2928.0,9023.0,2438.0,7404.0
"Shankland, Sam",United States,2561.0,2777.0,18.0,10.0,8.0,2872.0,3016.0,756.0,212.0,423.0
"Becerra, Julio",United States,2616.0,2705.0,1.0,0.0,0.0,,,,,
"Антипов, Михаил",Russia,,,,,,2773.0,2864.0,53.0,3.0,35.0
"Neiksans, Arturs",Latvia,2484.0,2742.0,17.0,5.0,5.0,2802.0,2948.0,2352.0,509.0,1443.0
"ILLESCAS, MIGUEL",Spain,,,,,,2684.0,2799.0,265.0,49.0,181.0
"Gupta, Abhijeet",India,2459.0,2600.0,10.0,5.0,10.0,2981.0,2991.0,920.0,202.0,863.0
"Focused, Stay",Russia,,,,,,2200.0,3018.0,28.0,5.0,1.0
"Galkin, Alexander",Russia,,,,,,2930.0,2930.0,769.0,237.0,525.0
"Popov, Ivan",Russia,,,,,,2801.0,2938.0,524.0,128.0,283.0
"Shoker, Samy",Egypt,2409.0,2419.0,5.0,4.0,3.0,2709.0,2919.0,6455.0,1484.0,6086.0
"Hansen, Eric",Canada,2530.0,2805.0,58.0,25.0,43.0,2852.0,3042.0,6960.0,765.0,3443.0
"Sadhwani, Raunak",India,2717.0,2718.0,67.0,39.0,29.0,2991.0,3105.0,1459.0,417.0,826.0
"Sadhwani, Raunak",India,2664.0,2784.0,74.0,48.0,47.0,2974.0,3056.0,3989.0,1324.0,2996.0
"Piorun, Kacper",Poland,2349.0,2800.0,12.0,10.0,23.0,2875.0,2994.0,1598.0,312.0,749.0
"Bartel, Mateusz",Poland,2436.0,2636.0,22.0,20.0,22.0,2810.0,2926.0,2526.0,587.0,1943.0
"Rameshbabu, Praggnanandhaa",India,2664.0,2735.0,68.0,31.0,30.0,2972.0,3018.0,1012.0,197.0,747.0
"Baklan, Vladimir",Ukraine,2665.0,2692.0,71.0,25.0,12.0,2694.0,2799.0,273.0,69.0,111.0
"Yoo, Christopher Woojin",Papua New Guinea,2609.0,2871.0,258.0,76.0,113.0,2994.0,3043.0,5473.0,1023.0,2808.0
"Ziatdinov, Raset",Uzbekistan,2098.0,2361.0,72.0,9.0,29.0,2339.0,2453.0,1200.0,129.0,639.0
"Bortnyk, Oleksandr",United States,2616.0,2939.0,212.0,59.0,92.0,3030.0,3109.0,6035.0,875.0,1909.0
"Miroshnichenko, Evgenij",Micronesia,2482.0,2606.0,6.0,1.0,3.0,2559.0,2737.0,1356.0,193.0,405.0
"Perez, Yasser Quesada",Cuba,2388.0,2450.0,11.0,8.0,12.0,2820.0,2991.0,720.0,121.0,394.0
"Fridman, Daniel",Germany,,,,,,2572.0,2846.0,79.0,21.0,35.0
"Zhou, Weiqi",China,2352.0,,0.0,1.0,1.0,3001.0,3015.0,1369.0,445.0,1246.0
"Martinovic, Sasa",Croatia,,,,,,2835.0,2876.0,445.0,105.0,417.0
