#,name,Classic,Rapid,Blitz,Age,Wins,Draws,Losses,Unnamed: 0,username,title,fide,country,current_rapid_rating,highest_rapid_rating,rapid_win,rapid_draw,rapid_loss,current_blitz_rating,highest_blitz_rating,blitz_win,blitz_draw,blitz_loss,current_bullet_rating,highest_bullet_rating,bullet_win,bullet_draw,bullet_loss
41,"Shankland, Sam",2697.8,2597.0,2668.0,31,,,,90.0,shankland-ne,GM,2673.0,United States,2673.0,2807.0,1.0,0.0,0.0,,,,,,,,,,
41,"Shankland, Sam",2697.8,2597.0,2668.0,31,,,,178.0,shankland,GM,2616.0,United States,2561.0,2777.0,18.0,10.0,8.0,2872.0,3016.0,756.0,212.0,423.0,2686.0,2729.0,321.0,34.0,240.0
42,"Eljanov, Pavel",2695.0,2641.0,2598.0,40,1298 (42.29 %),None (34.96 %),698 (22.74 %),1091.0,eljanov,GM,,Ukraine,2643.0,2718.0,35.0,21.0,18.0,2903.0,3014.0,4693.0,1626.0,4561.0,1401.0,1401.0,1.0,0.0,0.0
43,"Tomashevsky, Evgeny",2694.0,2642.0,2663.0,36,,,,880.0,evgenyt,GM,0.0,Russia,2542.0,2832.0,17.0,18.0,17.0,2988.0,2988.0,672.0,249.0,382.0,2440.0,2290.0,2.0,0.0,0.0
44,"Xiong, Jeffery",2693.0,2727.0,2726.0,22,1834 (52.19 %),None (27.4 %),717 (20.4 %),363.0,jefferyx,GM,2550.0,United States,2712.0,2838.0,131.0,104.0,51.0,2964.0,3107.0,1723.0,421.0,552.0,3060.0,3211.0,556.0,83.0,294.0
45,"Sargissian, Gabriel",2692.0,2612.0,2579.0,39,,,,59.0,arm-akiba,GM,2699.0,Armenia,2468.0,2920.0,15.0,11.0,8.0,2914.0,2914.0,397.0,147.0,277.0,2884.0,2884.0,196.0,31.0,159.0
46,Nihal Sarin,2691.8,2674.4,2689.0,19,689 (29.13 %),307 (32.05 %),918 (38.82 %),,,,,,,,,,,,,,,,,,,,
47,"Svidler, Peter",2691.0,2739.8,2689.0,47,1701 (37.29 %),None (44.31 %),839 (18.4 %),76.0,psvidler,GM,2683.0,Russia,2654.0,2800.0,22.0,17.0,13.0,2963.0,3079.0,328.0,103.0,101.0,2809.0,3053.0,14.0,12.0,31.0
48,"Bu, Xiangzhi",2690.0,2611.0,2760 i,37,821 (39.04 %),491 (47.03 %),293 (13.93 %),1038.0,chesswolf1210,GM,,China,2657.0,2788.0,7.0,13.0,7.0,2701.0,2701.0,8.0,0.0,0.0,2593.0,2887.0,3.0,0.0,2.0
49,"Sarana, Alexey",2689.2,2649.0,2707.0,23,2736 (56.03 %),None (20.6 %),1141 (23.37 %),,,,,,,,,,,,,,,,,,,,
50,"Navara, David",2687.6,2702.8,2680.0,38,1809 (47.46 %),None (33.63 %),721 (18.91 %),84.0,formerprodigy,GM,2676.0,Czech Republic,2683.0,2943.0,79.0,26.0,20.0,2861.0,3009.0,623.0,130.0,299.0,2820.0,3044.0,37.0,8.0,8.0
51,"Anton Guijarro, David",2687.6,2625.0,2606.0,28,1239 (45.19 %),None (33.41 %),587 (21.41 %),,,,,,,,,,,,,,,,,,,,
52,"Tabatabaei, M. Amin",2685.5,2577.0,2586.0,22,610 (50.75 %),None (23.96 %),304 (25.29 %),,,,,,,,,,,,,,,,,,,,
53,"Martirosyan, Haik M.",2683.0,2591.0,2770.0,23,903 (49.02 %),102 (28.66 %),411 (22.31 %),,,,,,,,,,,,,,,,,,,,
54,"Esipenko, Andrey",2681.6,2684.4,2615.0,21,1075 (46.3 %),None (33.33 %),473 (20.37 %),41.0,andreikka,GM,2709.0,Russia,2570.0,2878.0,83.0,38.0,37.0,2938.0,3032.0,1494.0,359.0,1104.0,2910.0,3144.0,885.0,113.0,765.0
55,"Amin, Bassem",2681.0,2601.2,2636.0,34,1088 (49.79 %),345 (27.0 %),507 (23.2 %),49.0,dr-bassem,GM,2700.0,Egypt,2510.0,2964.0,14.0,8.0,12.0,2819.0,2876.0,519.0,85.0,358.0,2893.0,2819.0,79.0,7.0,91.0
56,"Grandelius, Nils",2681.0,2640.2,2573.0,30,1377 (44.84 %),None (34.03 %),649 (21.13 %),1173.0,grandelicious,GM,,Sweden,2505.0,2768.0,35.0,19.0,28.0,2870.0,2957.0,689.0,125.0,293.0,2943.0,3036.0,121.0,4.0,53.0
57,"Oparin, Grigoriy",2681.0,2657.0,2647.0,26,1688 (45.98 %),None (32.39 %),794 (21.63 %),69.0,oparingrigoriy,GM,2687.0,United States,2640.0,2681.0,181.0,138.0,96.0,2977.0,3046.0,3866.0,953.0,1696.0,2946.0,3049.0,2420.0,400.0,1478.0
58,"Donchenko, Alexander",2678.8,2568.0,2565.0,25,1528 (46.96 %),None (30.12 %),746 (22.93 %),93.0,alexander_donchenko,GM,2668.0,Germany,2624.0,2789.0,66.0,15.0,29.0,2862.0,2928.0,2186.0,415.0,1120.0,2699.0,2901.0,978.0,91.0,513.0
59,"Shevchenko, Kirill",2677.0,2613.0,2603.0,20,974 (50.54 %),184 (26.41 %),444 (23.04 %),105.0,kirillshevchenko,GM,2655.0,Romania,2631.0,2810.0,48.0,21.0,14.0,2990.0,3038.0,1227.0,285.0,717.0,2928.0,2960.0,1219.0,211.0,1052.0
60,"Matlakov, Maxim",2677.0,2636.0,2666.0,32,1525 (45.89 %),None (35.06 %),633 (19.05 %),982.0,billiekimbah,GM,,Russia,2619.0,2764.0,147.0,106.0,92.0,2946.0,3056.0,769.0,161.0,376.0,2869.0,3040.0,78.0,16.0,62.0
61,"Shirov, Alexei",2676.3,2585.0,2659.0,51,2392 (44.97 %),1032 (37.0 %),959 (18.03 %),111.0,alexeishirov,GM,2651.0,Spain,2540.0,2909.0,12.0,2.0,4.0,2760.0,2899.0,296.0,56.0,112.0,2732.0,2732.0,2.0,1.0,0.0
62,"Howell, David W L",2675.8,2602 i,2567 i,32,1471 (49.25 %),None (28.26 %),672 (22.5 %),,,,,,,,,,,,,,,,,,,,
63,"Alekseenko, Kirill",2675.0,2639.0,2683 i,26,1173 (51.33 %),None (22.67 %),594 (26.0 %),983.0,bilodeaua,GM,,International,2609.0,2838.0,68.0,32.0,69.0,2906.0,3010.0,2823.0,490.0,2259.0,2756.0,2985.0,523.0,67.0,460.0
64,"Kovalenko, Igor",2674.0,2608.0,2574 i,34,,,,1197.0,igorkovalenko,GM,,Ukraine,2626.0,2667.0,70.0,38.0,64.0,2930.0,3026.0,8273.0,1562.0,5489.0,2783.0,2922.0,3103.0,335.0,1829.0
65,"Wojtaszek, Radoslaw",2673.6,2649.6,2604.0,36,1239 (41.55 %),493 (42.69 %),470 (15.76 %),26.0,radzio1987,GM,2733.0,Poland,2575.0,2749.0,12.0,9.0,4.0,2825.0,2926.0,289.0,73.0,119.0,2842.0,2842.0,38.0,7.0,21.0
66,"Kasimdzhanov, Rustam",2673.0,2648.0,2586.0,43,748 (38.4 %),None (44.1 %),341 (17.51 %),1413.0,solingen2020,GM,,Uzbekistan,,,,,,2563.0,2573.0,10.0,1.0,7.0,,,,,
67,"Ivanchuk, Vasyl",2672.2,2677.6,2678.0,54,,,,81.0,viviania,GM,2678.0,Ukraine,2529.0,2704.0,12.0,17.0,16.0,2911.0,3015.0,67.0,11.0,25.0,,,,,
68,"Fedoseev, Vladimir",2670.2,2729.0,2719.0,28,2228 (52.24 %),None (23.77 %),1023 (23.99 %),46.0,bigfish1995,GM,2701.0,Samoa,2778.0,2787.0,247.0,103.0,89.0,3064.0,3174.0,6020.0,1293.0,4130.0,2981.0,3231.0,3694.0,562.0,3379.0
68,"Fedoseev, Vladimir",2670.2,2729.0,2719.0,28,2228 (52.24 %),None (23.77 %),1023 (23.99 %),1106.0,fedoseevvladimir,GM,,Russia,,,,,,,,,,,,,,,
69,"Bluebaum, Matthias",2669.8,2605.4,2620.7,26,2061 (51.5 %),None (26.19 %),893 (22.31 %),1309.0,msb2,GM,,Germany,2653.0,2692.0,273.0,73.0,66.0,3028.0,3102.0,7092.0,1211.0,3808.0,3048.0,3124.0,3411.0,268.0,1059.0
70,"Sindarov, Javokhir",2666.4,2606.8,2585.0,17,497 (48.97 %),None (28.08 %),233 (22.96 %),,,,,,,,,,,,,,,,,,,,
71,"Leko, Peter",2666.0,2710 i,2738 i,43,,,,846.0,peterleko,GM,0.0,Hungary,2679.0,2679.0,2.0,1.0,5.0,2719.0,2719.0,4.0,2.0,8.0,2763.0,2784.0,3.0,3.0,3.0
72,"Moussard, Jules",2665.1,2610.6,2637.0,28,,,,898.0,annawel,GM,0.0,France,2715.0,2750.0,51.0,20.0,22.0,2988.0,3065.0,1761.0,313.0,1194.0,3006.0,3173.0,2989.0,244.0,1206.0
73,"Bacrot, Etienne",2663.8,2682.4,2640.0,40,1910 (43.96 %),790 (36.16 %),864 (19.88 %),872.0,baki83,GM,0.0,France,2467.0,2807.0,20.0,12.0,28.0,2845.0,2955.0,962.0,135.0,468.0,2761.0,2846.0,631.0,69.0,510.0
74,"Adams, Michael",2661.9,2647.0,2704.0,51,,,,51.0,gmmickeyadams,GM,2700.0,England,2556.0,2729.0,23.0,17.0,8.0,2790.0,2897.0,116.0,8.0,22.0,,,,,
75,"Niemann, Hans Moke",2660.0,2577.0,2616.0,20,923 (49.15 %),144 (22.31 %),536 (28.54 %),,,,,,,,,,,,,,,,,,,,
76,"Korobov, Anton",2659.4,2619.2,2649.0,38,1675 (49.38 %),486 (31.84 %),637 (18.78 %),1170.0,gogieff,GM,,Ukraine,2648.0,2876.0,12.0,10.0,5.0,3008.0,3059.0,854.0,158.0,414.0,2893.0,2931.0,145.0,15.0,87.0
