Name,Country,Current_rapid_rating,Highest_rapid_rating,Rapid_win,Rapid_draw,Rapid_loss,Current_blitz_rating,Highest_blitz_rating,Blitz_win,Blitz_draw,Blitz_loss,Wins_online,Draws_online,Losses_online
"Efimenko, Zahar",Ukraine,2579.0,2735.0,24.0,13.0,6.0,2718.0,2806.0,237.0,68.0,153.0,52.1,16.17,31.74
"Fishbein, Alex",United States,,,,,,,,,,,,,
"Postny, Evgeny",Israel,2437.0,2719.0,23.0,5.0,16.0,2750.0,2815.0,589.0,120.0,293.0,58.51,11.95,29.54
"Nisipeanu, Liviu Dieter",Romania,,,,,,2743.0,2778.0,71.0,13.0,28.0,,,
"Shabalov, Alexander",United States,2524.0,2563.0,14.0,3.0,10.0,2561.0,2561.0,20.0,4.0,5.0,60.71,12.5,26.79
"Naroditsky, Daniel",United States,2555.0,2919.0,23.0,14.0,13.0,3141.0,3249.0,21375.0,4402.0,10520.0,58.87,12.15,28.98
"Smirnov, Pavel",Russia,2634.0,2679.0,28.0,12.0,9.0,2722.0,2917.0,1095.0,252.0,648.0,54.94,12.92,32.14
"Sivuk, Vitaly",Sweden,2224.0,2237.0,13.0,2.0,5.0,2641.0,2793.0,2548.0,563.0,1818.0,51.75,11.42,36.84
"Gledura, Benjamin",Hungary,2594.0,2860.0,73.0,46.0,54.0,2911.0,2991.0,1283.0,286.0,1152.0,46.86,11.47,41.67
"Avrukh, Boris",United States,2598.0,2598.0,5.0,0.0,0.0,2808.0,2808.0,295.0,57.0,121.0,62.76,11.92,25.31
,Thailand,,,,,,2898.0,3015.0,240.0,57.0,154.0,,,
"Agrest, Evgenij",Sweden,2372.0,2600.0,13.0,2.0,19.0,2504.0,2581.0,62.0,8.0,50.0,48.7,6.49,44.81
"Phoenix, Paul",Switzerland,1493.0,1493.0,1.0,0.0,0.0,2802.0,2802.0,1846.0,255.0,1354.0,53.44,7.38,39.18
"Chirila, Cristian",United States,2600.0,2717.0,1.0,0.0,1.0,,,,,,,,
"Kacheishvili, Giorgi",United States,2434.0,2434.0,5.0,0.0,1.0,2328.0,2556.0,23.0,3.0,8.0,70.0,7.5,22.5
"Vocaturo, Daniele",Zimbabwe,2756.0,2802.0,11.0,4.0,0.0,,,,,,,,
"Shipov, Sergey",Russia,2547.0,2547.0,1.0,0.0,0.0,2726.0,2850.0,587.0,101.0,261.0,61.89,10.63,27.47
"Perelshteyn, Eugene",United States,,,,,,2509.0,2597.0,438.0,24.0,78.0,,,
,United States,,,,,,,,,,,,,
"Fier, Alex",Brazil,2512.0,2589.0,79.0,40.0,55.0,2771.0,2890.0,1685.0,361.0,1110.0,52.97,12.04,34.98
"Vocaturo, Daniele",Italy,2488.0,2720.0,4.0,5.0,6.0,2630.0,2801.0,260.0,38.0,111.0,62.26,10.14,27.59
"Atalik, Suat",Serbia,2505.0,2834.0,151.0,48.0,36.0,2712.0,2744.0,626.0,88.0,63.0,76.78,13.44,9.78
"Suri, Vaibhav",India,2532.0,2776.0,15.0,8.0,17.0,2725.0,2914.0,744.0,188.0,623.0,47.59,12.29,40.13
"Bharathakoti, Harsha",India,2430.0,2595.0,26.0,11.0,26.0,2849.0,2928.0,1637.0,299.0,949.0,56.41,10.52,33.07
"Belov, Vladimir",International,,,,,,2803.0,2807.0,241.0,42.0,112.0,,,
"Bojkov, Dejan",Bulgaria,2257.0,2257.0,5.0,0.0,0.0,2395.0,2446.0,265.0,26.0,85.0,70.87,6.82,22.31
"Krasenkow, Michał",Poland,2441.0,2441.0,2.0,0.0,2.0,,,,,,,,
"Goganov, Aleksey",Russia,2488.0,2633.0,10.0,2.0,4.0,2790.0,2827.0,36.0,7.0,13.0,63.89,12.5,23.61
"Tarlev, Konstantin",Ukraine,2648.0,2648.0,1.0,0.0,0.0,2877.0,2877.0,189.0,26.0,80.0,64.19,8.78,27.03
"Ramirez, Alejandro",United States,2420.0,2658.0,5.0,0.0,1.0,2725.0,2921.0,1193.0,267.0,968.0,49.22,10.97,39.81
"Stukopin, Andrey",United States,2593.0,2596.0,2.0,0.0,0.0,2687.0,2739.0,301.0,42.0,218.0,53.82,7.46,38.72
"Pashikian, Arman",Armenia,,,,,,2781.0,2871.0,421.0,138.0,396.0,,,
"Antipov, Mikhail",United States,2593.0,2624.0,121.0,41.0,60.0,2903.0,3017.0,2370.0,336.0,1406.0,57.48,8.7,33.83
"Azarov, Sergei",International,2560.0,2660.0,37.0,26.0,30.0,2768.0,2921.0,2330.0,467.0,2376.0,44.95,9.36,45.69
"Margvelashvil, Giorgi",United States,,,,,,,,,,,,,
"Gopal, GN",India,2593.0,2593.0,1.0,0.0,0.0,2600.0,2696.0,27.0,3.0,6.0,75.68,8.11,16.22
"Doel, Erik Van den",Netherlands,2442.0,2475.0,4.0,1.0,4.0,2799.0,2876.0,24.0,15.0,14.0,45.16,25.81,29.03
"Filippov, Anton",Kazakhstan,1974.0,1974.0,6.0,1.0,0.0,2839.0,2861.0,501.0,91.0,343.0,53.82,9.77,36.41
"Molner, Mackenzie",United States,2592.0,,0.0,1.0,0.0,,,,,,,,
,Croatia,2500.0,,0.0,0.0,1.0,2777.0,2851.0,9954.0,1646.0,11656.0,42.8,7.08,50.12
"Leitao, Rafael",Brazil,2323.0,2659.0,9.0,1.0,2.0,2777.0,2803.0,721.0,193.0,404.0,54.89,14.59,30.53
"Chadaev, Nikolay",International,2246.0,2591.0,3.0,1.0,1.0,2865.0,2984.0,721.0,114.0,336.0,61.56,9.78,28.66
"Gulko, Boris",United States,,,,,,,,,,,,,
"Degraeve, Jean-Marc",France,,,,,,2316.0,2418.0,29.0,2.0,7.0,,,
"Ruiz, Miguel Santos",Spain,2537.0,2797.0,25.0,22.0,19.0,2751.0,2878.0,402.0,62.0,206.0,58.02,11.41,30.57
"Dziuba, Marcin",Poland,2477.0,2557.0,26.0,3.0,8.0,2635.0,2730.0,421.0,81.0,301.0,53.21,10.0,36.79
"Alonso, Yusnel Bacallao",Cuba,2480.0,2713.0,24.0,9.0,5.0,2773.0,2870.0,343.0,69.0,207.0,55.86,11.87,32.27
"Iordachescu, Viorel",Moldova,2435.0,2690.0,7.0,2.0,3.0,3142.0,3150.0,784.0,132.0,506.0,55.16,9.34,35.5
"Stocek, Jiri",Czech Republic,2414.0,2697.0,8.0,5.0,3.0,2470.0,2654.0,133.0,15.0,69.0,60.52,8.58,30.9
"Antonio, Rogelio Jr",Philippines,2398.0,2558.0,289.0,104.0,56.0,2631.0,2890.0,39863.0,4156.0,27648.0,55.68,5.91,38.42
"Aleksandrov, Aleksei",Belarus,2490.0,2589.0,83.0,36.0,21.0,2656.0,2785.0,1790.0,305.0,1069.0,56.69,10.32,32.99
"Moranda, Wojciech",Poland,2192.0,2605.0,3.0,0.0,3.0,2978.0,3069.0,437.0,71.0,239.0,58.43,9.43,32.14
"Margvelashvili, Giorgi",United States,,,,,,,,,,,,,
"Potkin, Vladimir",Russia,2331.0,2458.0,25.0,6.0,20.0,2618.0,2742.0,129.0,23.0,79.0,54.61,10.28,35.11
"Belous, Vladimir",United States,2340.0,2787.0,49.0,1.0,12.0,2847.0,2907.0,1066.0,167.0,627.0,58.01,8.74,33.25
"Idani, Pouya",Iran,2486.0,2662.0,8.0,5.0,4.0,2702.0,2848.0,313.0,56.0,187.0,56.02,10.65,33.33
"Ernst, Sipke",Netherlands,2187.0,2187.0,24.0,4.0,15.0,2633.0,2759.0,240.0,52.0,154.0,53.99,11.45,34.56
"Popov, Valery",Russia,2394.0,2634.0,5.0,2.0,1.0,2550.0,2836.0,437.0,52.0,245.0,59.57,7.28,33.15
"Koneru, Humpy",India,2342.0,2719.0,24.0,16.0,13.0,2689.0,2712.0,47.0,23.0,52.0,40.57,22.29,37.14
"Stojanovic, Mihajlo",Serbia,2329.0,2329.0,18.0,5.0,2.0,2672.0,2672.0,16.0,0.0,0.0,82.93,12.2,4.88
"Kore, Akshayraj",United States,2215.0,2215.0,11.0,0.0,1.0,2709.0,2811.0,5677.0,863.0,3862.0,54.62,8.29,37.09
"Har-Zvi, Ronen",Israel,2408.0,2637.0,10.0,4.0,6.0,2692.0,2917.0,190.0,25.0,65.0,66.67,9.67,23.67
,Romania,,,,,,2500.0,2517.0,81.0,17.0,39.0,,,
"Barcenilla, Rogelio",United States,2583.0,,1.0,0.0,0.0,,,,,,,,
"Meshkovs, Nikita",Latvia,2496.0,2608.0,15.0,3.0,9.0,2742.0,2932.0,5607.0,814.0,4340.0,52.11,7.57,40.31
"Goryachkina, Aleksandra",Russia,2552.0,2695.0,11.0,5.0,2.0,2659.0,2744.0,676.0,261.0,378.0,51.54,19.95,28.51
"Werle, Jan",Netherlands,2445.0,2445.0,1.0,0.0,0.0,2445.0,2590.0,123.0,21.0,74.0,56.62,9.59,33.79
"Pelletier, Yannick",Switzerland,2328.0,2379.0,1.0,1.0,2.0,2560.0,2667.0,485.0,68.0,188.0,65.23,9.26,25.5
"Ivic, Velimir",Serbia,2431.0,2431.0,22.0,6.0,15.0,2918.0,2988.0,2114.0,359.0,1542.0,52.64,8.99,38.37
"Buhmann, Rainer",Germany,2494.0,2606.0,11.0,2.0,5.0,2919.0,2992.0,2290.0,640.0,1485.0,51.91,14.48,33.61
"Danin, Alexandre",Russia,,,,,,2681.0,2721.0,1260.0,291.0,1012.0,,,
"Grigoriants, Sergey",Hungary,2344.0,2696.0,6.0,1.0,4.0,2909.0,2990.0,2305.0,1028.0,2267.0,41.19,18.34,40.47
"Studer, Noël",Switzerland,2433.0,2531.0,15.0,1.0,9.0,2624.0,2774.0,1759.0,296.0,1668.0,47.33,7.92,44.74
"Popovic, Dusan",Serbia,,,,,,2231.0,2311.0,7.0,0.0,1.0,,,
"Gagunashvili, GM Merab",Georgia,2467.0,2655.0,24.0,2.0,11.0,2751.0,2800.0,346.0,116.0,265.0,48.43,15.45,36.13
"Goloshchapov, Aleksander",Ukraine,1300.0,1300.0,1.0,0.0,2.0,2077.0,2229.0,40.0,4.0,3.0,82.0,8.0,10.0
"Czarnota, Pawel",Poland,2502.0,2502.0,2.0,0.0,0.0,2898.0,2931.0,222.0,46.0,140.0,54.63,11.22,34.15
"Daneshvar, Bardiya",Iran,2504.0,2595.0,24.0,11.0,8.0,2938.0,3037.0,379.0,78.0,203.0,57.33,12.66,30.01
,United States,,,,,,,,,,,,,
"Perelshteyn, Eugene",United States,,,,,,,,,,,,,
"Gurevich, Mikhail",Belgium,2542.0,,0.0,2.0,0.0,2713.0,2811.0,3640.0,524.0,2728.0,52.8,7.63,39.57
"Vazquez, Renier",Spain,,,,,,2715.0,2753.0,757.0,112.0,445.0,,,
"Kekelidze, Mikheil",United States,,,,,,,,,,,,,
"Korotylev, Alexey",Russia,2048.0,2048.0,3.0,0.0,0.0,2897.0,2948.0,1110.0,170.0,574.0,59.94,9.15,30.91
"Khanin, Semen",United States,2464.0,2748.0,66.0,16.0,28.0,2867.0,2960.0,4809.0,1175.0,4498.0,46.03,11.24,42.73
"Barbosa, Oliver",United States,2368.0,2811.0,97.0,38.0,15.0,2758.0,2937.0,338.0,82.0,161.0,59.51,16.42,24.08
"Stupak, Kirill",Belarus,2561.0,2561.0,74.0,23.0,12.0,2832.0,2946.0,965.0,193.0,794.0,50.41,10.48,39.11
"Vazquez, Guillermo",Paraguay,2581.0,2661.0,43.0,20.0,14.0,2976.0,3030.0,2804.0,715.0,1771.0,53.05,13.69,33.26
"Georgiadis, Nico",Switzerland,2544.0,2618.0,1.0,4.0,0.0,2687.0,2901.0,1121.0,239.0,839.0,50.91,11.03,38.07
"Petkov, Vladimir",Bulgaria,,,,,,2519.0,2747.0,3674.0,596.0,3008.0,,,
"Saric, Ibro",Bosnia-Herzegovina,,,,,,2751.0,2815.0,1506.0,386.0,1733.0,,,
"Cabrera, Carlos Daniel Albornoz",Cuba,2494.0,2558.0,33.0,22.0,13.0,2754.0,2945.0,502.0,102.0,276.0,56.43,13.08,30.49
"Mozharov, Mikhail",Dominican Republic,1953.0,,0.0,0.0,4.0,2724.0,2867.0,3361.0,542.0,2630.0,51.42,8.29,40.29
"Neiksans, Arturs",Latvia,,,,,,,,,,,,,
"Sychev, Klementy",Russia,2539.0,2743.0,55.0,26.0,49.0,2853.0,2948.0,909.0,172.0,519.0,55.72,11.45,32.83
"Vovk, Yuri",Ukraine,2254.0,2254.0,1.0,1.0,0.0,2802.0,2883.0,2336.0,380.0,1844.0,51.23,8.35,40.42
"Cordova, Emilio",Peru,2458.0,2609.0,18.0,4.0,9.0,2872.0,2983.0,1299.0,274.0,1146.0,47.89,10.11,42.0
"Naroditsky, Daniel",United States,2687.0,2742.0,3.0,1.0,1.0,1635.0,,0.0,0.0,1.0,50.0,16.67,33.33
"Hansen, Sune Berg",Denmark,2517.0,2542.0,16.0,10.0,7.0,2742.0,2797.0,4741.0,802.0,3226.0,54.04,9.23,36.73
"Stefansson, Hannes",Iceland,2252.0,2783.0,8.0,4.0,5.0,2588.0,2614.0,34.0,4.0,9.0,65.62,12.5,21.88
"Barcenilla, Rogelio",Philippines,2302.0,2460.0,124.0,42.0,49.0,2914.0,2983.0,583.0,91.0,279.0,60.53,11.39,28.08
"Jerez, José Carlos Ibarra",Spain,2539.0,2791.0,89.0,42.0,53.0,2942.0,2975.0,3099.0,539.0,1258.0,62.76,11.44,25.81
"Rusev, Krasimir",International,2419.0,2635.0,54.0,3.0,7.0,2710.0,2792.0,2915.0,407.0,2210.0,53.06,7.33,39.62
"Grigoryan, Avetik",United States,,,,,,2921.0,2941.0,513.0,144.0,472.0,,,
"Kraai, Jesse",United States,2567.0,2671.0,1.0,0.0,0.0,,,,,,,,
"Laurusas, Tomas",Lithuania,2444.0,2478.0,87.0,7.0,43.0,2799.0,2911.0,5984.0,943.0,4261.0,53.61,8.39,38.0
"Esteban, Daniel Forcen",Spain,,,,,,2733.0,2864.0,2595.0,289.0,1689.0,,,
"Kunin, Vitaly",Germany,2006.0,2006.0,1.0,0.0,0.0,2579.0,2655.0,186.0,36.0,126.0,53.58,10.32,36.1
"Kryakvin, Dmitry",Tanzania,2490.0,2589.0,10.0,13.0,2.0,2724.0,2800.0,575.0,236.0,287.0,52.09,22.17,25.73
"Fontaine, Robert",Switzerland,2558.0,2558.0,3.0,0.0,0.0,2621.0,2790.0,3901.0,644.0,2809.0,53.07,8.75,38.18
"D, Gukesh",India,2729.0,2853.0,34.0,18.0,15.0,3059.0,3059.0,1876.0,265.0,1410.0,52.79,7.82,39.39
"Ramirez, Neuris Delgado",Paraguay,2534.0,2670.0,49.0,18.0,13.0,2663.0,2829.0,194.0,26.0,89.0,62.47,11.31,26.22
"P, Iniyan",India,2570.0,2622.0,27.0,24.0,27.0,2805.0,2902.0,1351.0,283.0,1032.0,50.22,11.19,38.59
"Kuljasevic, Davorin",Croatia,,,,,,2706.0,2777.0,175.0,39.0,91.0,,,
"Gumularz, Szymon",Poland,2442.0,2586.0,5.0,3.0,2.0,2853.0,3002.0,4968.0,1252.0,3368.0,51.81,13.08,35.11
"Finegold, Ben",United States,,,,,,,,,,,,,
"Michalik, Peter",Czech Republic,2667.0,2869.0,9.0,14.0,4.0,3000.0,3049.0,5293.0,1652.0,4992.0,44.32,13.93,41.76
"Khachiyan, Melikset",United States,2588.0,2588.0,9.0,2.0,2.0,2698.0,2792.0,7357.0,1839.0,7038.0,45.34,11.33,43.33
"Mekhitarian, Krikor Sevag",Brazil,2557.0,2630.0,186.0,37.0,79.0,2783.0,2974.0,11846.0,2093.0,5772.0,60.12,10.64,29.24
"Hansen, Lars Bo",United States,,,,,,,,,,,,,
"Gordievsky, Dmitry",Argentina,2478.0,2542.0,35.0,8.0,19.0,2909.0,2989.0,1551.0,293.0,1093.0,52.88,10.04,37.08
"Tuan, Minh Tran",Vietnam,2406.0,2560.0,24.0,1.0,6.0,2841.0,2929.0,1082.0,162.0,748.0,54.67,8.06,37.27
"Mendonca, Leon Luke",Dominican Republic,2567.0,2596.0,10.0,9.0,6.0,2745.0,2853.0,1317.0,285.0,921.0,52.08,11.54,36.38
,France,2418.0,2687.0,31.0,6.0,19.0,2545.0,2680.0,213.0,39.0,105.0,59.08,10.9,30.02
"Petrov, Martin",Bulgaria,2301.0,2552.0,22.0,8.0,15.0,2712.0,2726.0,297.0,44.0,245.0,50.55,8.24,41.2
"Abasov, Nijat",Azerbaijan,,,,,,2742.0,2742.0,45.0,11.0,4.0,,,
"Lagno, Kateryna",Russia,2395.0,2463.0,9.0,11.0,10.0,2901.0,2901.0,567.0,143.0,300.0,55.38,14.81,29.81
"Ismagambetov, Anuar",Kazakhstan,2589.0,2646.0,22.0,5.0,3.0,2758.0,2872.0,685.0,106.0,356.0,60.07,9.43,30.5
"Friedel, Josh",United States,2105.0,2512.0,1.0,0.0,1.0,2720.0,2720.0,304.0,42.0,181.0,57.66,7.94,34.4
"Jankovic, CRO Alojzije",Croatia,2504.0,2598.0,102.0,15.0,60.0,2589.0,2706.0,544.0,60.0,370.0,56.13,6.52,37.36
"Finegold, Ben",United States,2316.0,2516.0,36.0,4.0,2.0,2750.0,2830.0,7128.0,410.0,1571.0,78.29,4.52,17.19
"Bhat, Vinay",United States,2555.0,,0.0,1.0,0.0,,,,,,,,
"Xu, Yinglun",China,2527.0,2560.0,14.0,13.0,13.0,2908.0,2905.0,1046.0,252.0,696.0,52.11,13.03,34.86
"Vavulin, Maxim",Russia,2273.0,2440.0,6.0,4.0,7.0,2574.0,2846.0,76.0,5.0,48.0,56.16,6.16,37.67
"Narayanan, Srinath",India,2551.0,2865.0,25.0,17.0,20.0,2888.0,3132.0,1778.0,335.0,1171.0,53.89,10.52,35.59
"Ghosh, Diptayan",India,2556.0,2842.0,25.0,19.0,22.0,2897.0,2945.0,1042.0,312.0,698.0,50.38,15.63,33.99
"Charbonneau, Pascal",United States,,,,,,,,,,,,,
"Petrov, Nikita",Montenegro,2542.0,2655.0,55.0,6.0,2.0,2993.0,2993.0,1034.0,212.0,546.0,58.71,11.75,29.54
"Georgiev, Vladimir",United States,2538.0,2636.0,7.0,2.0,2.0,1944.0,2000.0,38.0,1.0,3.0,84.91,5.66,9.43
"Sanal, Vahap",Turkey,2535.0,2632.0,64.0,18.0,44.0,2916.0,3065.0,7240.0,1264.0,6917.0,46.98,8.25,44.77
"Harutyunyan, Tigran",Armenia,1649.0,,0.0,1.0,0.0,2738.0,2850.0,1153.0,192.0,959.0,50.02,8.37,41.61
"Panarin, Mikhail",Russia,,,,,,2826.0,2883.0,287.0,91.0,225.0,,,
"Mittal, Aditya",India,2501.0,2517.0,167.0,59.0,137.0,2873.0,2988.0,3811.0,998.0,3427.0,46.26,12.29,41.45
"Blagojevic, Dragisa",Montenegro,,,,,,2515.0,2515.0,42.0,8.0,25.0,,,
"Smerdon, David",Australia,2534.0,2534.0,1.0,0.0,0.0,2571.0,2668.0,4170.0,641.0,1629.0,64.76,9.95,25.29
"Lintchevski, Daniil",Russia,2347.0,2347.0,10.0,3.0,1.0,2936.0,2979.0,1505.0,399.0,795.0,55.84,14.82,29.34
"Dzindzichashvili, Roman",United States,1219.0,2216.0,2.0,4.0,4.0,2212.0,2430.0,703.0,123.0,478.0,53.65,9.67,36.68
"Milos, Gilberto",Brazil,2575.0,2575.0,26.0,0.0,1.0,2579.0,2688.0,2264.0,346.0,1596.0,54.1,8.17,37.73
"Baron, Tal",Israel,1923.0,1923.0,4.0,1.0,1.0,2836.0,2906.0,577.0,88.0,425.0,53.01,8.12,38.87
"Pigusov, Evgeny",Russia,2327.0,2343.0,7.0,4.0,4.0,2652.0,2652.0,1052.0,165.0,1010.0,47.23,7.54,45.23
"Grigoriants, Sergey",Russia,,,,,,,,,,,,,
"Rasmussen, Allan Stig",Denmark,2495.0,2495.0,9.0,0.0,2.0,2623.0,2836.0,647.0,66.0,495.0,53.81,5.41,40.77
"Kosteniuk, Alexandra",International,2491.0,2622.0,68.0,52.0,94.0,2799.0,2817.0,2505.0,564.0,1285.0,56.33,13.49,30.19
"Kraai, Jesse",United States,2473.0,2594.0,16.0,8.0,8.0,2697.0,2708.0,1284.0,205.0,897.0,53.76,8.81,37.43
"Xiong, Jeffery",United States,2712.0,2838.0,131.0,104.0,51.0,2964.0,3107.0,1723.0,421.0,552.0,62.17,17.61,20.22
,United States,,,,,,2526.0,2526.0,159.0,18.0,58.0,,,
"Debs, Felipe El",Brazil,2578.0,2578.0,4.0,4.0,1.0,2629.0,2830.0,716.0,144.0,552.0,50.67,10.42,38.92
,Argentina,2418.0,2418.0,1.0,0.0,0.0,2501.0,2501.0,15.0,3.0,11.0,53.33,10.0,36.67
"Petrov, Marian",Bulgaria,2483.0,2483.0,72.0,12.0,24.0,2691.0,2722.0,3650.0,711.0,3438.0,47.07,9.14,43.78
"Nikolov, Momchil",Bulgaria,1638.0,1892.0,5.0,0.0,1.0,2540.0,2712.0,4339.0,583.0,3184.0,53.55,7.19,39.26
"Rozum, Ivan",Russia,2326.0,2483.0,9.0,3.0,9.0,2751.0,2778.0,416.0,64.0,331.0,51.08,8.05,40.87
"Arutinian, David",Georgia,2413.0,2466.0,58.0,5.0,12.0,2914.0,2942.0,2571.0,585.0,1371.0,57.13,12.82,30.05
"Das, Debashis",India,2513.0,2691.0,8.0,3.0,2.0,2819.0,2941.0,709.0,198.0,703.0,44.18,12.38,43.44
"Sosa, Tomas",Argentina,2198.0,2565.0,5.0,1.0,5.0,2837.0,2864.0,813.0,159.0,633.0,50.62,9.9,39.48
"Rohde, Michael",United States,,,,,,,,,,,,,
"V, Pranav",India,2572.0,2784.0,56.0,6.0,34.0,2915.0,3066.0,3422.0,462.0,2436.0,54.21,7.29,38.5
"Mekhitarian, Krikor Sevag",Brazil,2510.0,2510.0,29.0,3.0,6.0,2000.0,2000.0,5.0,0.0,1.0,77.27,6.82,15.91
"Steinberg, Nitzan",Israel,2467.0,2542.0,37.0,13.0,21.0,2883.0,2983.0,2116.0,423.0,1258.0,55.66,11.27,33.07
"Sumets, Andrey",Ukraine,2230.0,2230.0,1.0,0.0,0.0,2724.0,2869.0,3005.0,627.0,2411.0,49.74,10.37,39.89
"Mahjoob, Morteza",Iran,2022.0,2055.0,16.0,13.0,5.0,2332.0,2500.0,506.0,74.0,429.0,50.05,8.34,41.61
"Demidov, Mikhail",Russia,2587.0,2666.0,9.0,16.0,7.0,2929.0,2955.0,1540.0,521.0,1304.0,45.6,15.81,38.59
"Lobanov, Sergei",Armenia,2524.0,2570.0,22.0,15.0,22.0,2788.0,2880.0,1338.0,233.0,952.0,52.67,9.6,37.72
"Balog, Imre",Hungary,2575.0,2672.0,9.0,3.0,7.0,2751.0,2835.0,1920.0,233.0,587.0,69.92,8.55,21.53
"Rogers, Ian",Australia,,,,,,,,,,,,,
"Foreest, Lucas van",Netherlands,2506.0,2537.0,19.0,3.0,8.0,2825.0,2932.0,1063.0,259.0,678.0,53.3,12.91,33.79
"Pert, Nicholas",United Kingdom,2569.0,2569.0,1.0,0.0,0.0,2618.0,2767.0,106.0,21.0,41.0,63.31,12.43,24.26
"Kolev, Аtanas",United States,,,,,,2898.0,2898.0,535.0,68.0,175.0,,,
"Le, Tuan Minh",Vietnam,2689.0,2690.0,100.0,47.0,39.0,2990.0,3103.0,8502.0,1770.0,4989.0,55.69,11.76,32.55
"Burke, John",United States,2404.0,2835.0,22.0,5.0,7.0,2815.0,2815.0,384.0,34.0,166.0,65.7,6.31,27.99
"Hungaski, Robert",United States,2541.0,2756.0,1.0,0.0,0.0,1524.0,1524.0,2.0,0.0,0.0,100.0,0.0,0.0
"Li, Ruifeng",United States,2579.0,2627.0,278.0,32.0,367.0,2872.0,2923.0,834.0,183.0,622.0,48.01,9.28,42.7
"Szabo, Gergely-Andras-Gyula",Romania,2448.0,2546.0,1.0,4.0,2.0,2498.0,2579.0,4.0,0.0,1.0,41.67,33.33,25.0
"Arnold, Marc",United States,2305.0,2606.0,7.0,0.0,2.0,2625.0,2735.0,1571.0,286.0,1010.0,54.87,9.94,35.19
"Muradli, Mahammad",Azerbaijan,2534.0,2782.0,58.0,29.0,44.0,2896.0,2987.0,1521.0,187.0,931.0,57.0,7.8,35.2
"Saric, Ante",Croatia,2545.0,2642.0,13.0,8.0,21.0,2684.0,2744.0,443.0,89.0,196.0,59.22,12.6,28.18
"Miladinovic, Igor",Serbia,,,,,,2843.0,2972.0,1086.0,191.0,888.0,,,
"Ponsa, Federico Perez",Argentina,2624.0,2701.0,33.0,20.0,18.0,2809.0,2973.0,1280.0,308.0,854.0,52.25,13.05,34.7
"Tang, Andrew",United States,2518.0,2969.0,565.0,90.0,101.0,2878.0,3110.0,3229.0,399.0,1856.0,60.8,7.84,31.36
"Tristan, Leonardo",Argentina,2331.0,2686.0,9.0,2.0,14.0,2786.0,2856.0,1973.0,231.0,1286.0,56.39,6.63,36.98
"Mousavi, Khalil",Iran,2372.0,2635.0,16.0,7.0,5.0,2839.0,3022.0,221.0,42.0,134.0,55.76,11.53,32.71
"Aghasaryan, Robert",United States,2536.0,2536.0,5.0,0.0,0.0,2429.0,2636.0,493.0,93.0,143.0,67.85,12.67,19.48
"Warakomski, Tomasz",Poland,1847.0,2086.0,8.0,0.0,8.0,2593.0,2744.0,247.0,28.0,61.0,72.44,7.95,19.6
"Stefanova, Antoaneta",Bulgaria,2249.0,2717.0,27.0,21.0,19.0,2547.0,2726.0,130.0,59.0,67.0,48.61,24.77,26.63
"Chirila, Ioan-Cristian",United States,2586.0,2715.0,25.0,9.0,14.0,2686.0,2830.0,4148.0,640.0,3198.0,51.94,8.08,39.98
"Gupta, Sankalp",India,2470.0,2490.0,31.0,13.0,37.0,2845.0,2911.0,1574.0,308.0,1528.0,45.98,9.2,44.83
"Aroshidze, Levan",Spain,2265.0,2533.0,10.0,1.0,0.0,2545.0,2660.0,1160.0,111.0,749.0,57.61,5.51,36.88
"Warmerdam, Max",Netherlands,2425.0,2686.0,30.0,6.0,14.0,2842.0,2900.0,607.0,84.0,317.0,60.21,8.51,31.29
"Vajda, Levente",Romania,,,,,,2611.0,2784.0,725.0,156.0,621.0,,,
"Tsegmed, Batchuluun",Mongolia,2495.0,2656.0,21.0,8.0,7.0,2674.0,2789.0,154.0,38.0,118.0,50.58,13.29,36.13
"Nataf, igor-alexandre",France,1946.0,2059.0,15.0,0.0,6.0,2965.0,2965.0,96.0,11.0,36.0,67.68,6.71,25.61
,Germany,,,,,,2660.0,2660.0,65.0,12.0,37.0,,,
"HERNANDEZ, GILBERTO",Mexico,2467.0,2529.0,3.0,1.0,2.0,2698.0,2859.0,470.0,66.0,373.0,51.69,7.32,40.98
"Moskalenko, Viktor",Spain,2349.0,2349.0,68.0,11.0,21.0,2628.0,2684.0,124.0,34.0,48.0,62.75,14.71,22.55
"Jianu, Vlad",Romania,2327.0,2428.0,28.0,4.0,2.0,2680.0,2757.0,774.0,94.0,264.0,68.78,8.4,22.81
"Sebenik, Matej",Slovenia,2418.0,2570.0,6.0,6.0,9.0,2648.0,2679.0,736.0,143.0,596.0,49.6,9.96,40.44
"Nagy, Gabor",Hungary,2413.0,2571.0,20.0,5.0,7.0,2787.0,2964.0,3361.0,710.0,2481.0,51.35,10.86,37.79
"Libiszewski, Fabien",France,2434.0,2565.0,31.0,2.0,3.0,2764.0,2827.0,1704.0,255.0,860.0,60.77,9.0,30.23
"Nevednichy, Vladislav",Romania,2148.0,2500.0,8.0,8.0,10.0,2672.0,2787.0,2602.0,740.0,2147.0,47.33,13.56,39.11
"Flores, Mauricio",United States,2594.0,2656.0,9.0,1.0,1.0,2827.0,2938.0,1381.0,258.0,914.0,54.21,10.1,35.69
"Shanava, Konstantine",Georgia,2003.0,2003.0,29.0,0.0,2.0,2703.0,2856.0,659.0,117.0,634.0,47.74,8.12,44.14
"Krush, Irina",United States,,,,,,,,,,,,,
